"B03002_001" "B03002_002" "B03002_003" "B03002_004" "B03002_005" "B03002_006" "B03002_007" "B03002_008" "B03002_009" "B03002_010" "B03002_011" "B03002_012" "B03002_013" "B03002_014" "B03002_015" "B03002_016" "B03002_017" "B03002_018" "B03002_019" "B03002_020" "B03002_021"
"ZCTA5 01079" 195 195 184 0 0 0 0 0 11 0 11 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01080" 2527 2347 2259 34 0 10 0 0 44 0 44 180 74 0 0 0 0 0 106 0 106
"ZCTA5 01081" 1812 1809 1759 10 10 0 0 4 26 0 26 3 3 0 0 0 0 0 0 0 0
"ZCTA5 01082" 10175 9899 9773 18 23 10 0 6 69 0 69 276 276 0 0 0 0 0 0 0 0
"ZCTA5 01083" 2928 2899 2815 40 0 0 0 0 44 0 44 29 0 0 0 0 0 29 0 0 0
"ZCTA5 01084" 235 231 229 0 0 0 0 0 2 0 2 4 4 0 0 0 0 0 0 0 0
"ZCTA5 01085" 40212 37497 35753 527 77 708 0 44 388 80 308 2715 1181 24 16 0 0 1150 344 181 163
"ZCTA5 01086" 1463 1430 1332 78 0 20 0 0 0 0 0 33 23 0 0 0 0 4 6 0 6
"ZCTA5 01088" 719 666 658 8 0 0 0 0 0 0 0 53 45 8 0 0 0 0 0 0 0
"ZCTA5 01089" 28320 26192 23993 566 88 1123 0 70 352 133 219 2128 1153 55 115 14 0 687 104 62 42
"ZCTA5 01092" 1460 1460 1460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01093" 355 355 355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01094" 214 214 214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01095" 14183 13856 13272 287 2 213 0 27 55 13 42 327 288 0 0 0 0 15 24 24 0
"ZCTA5 01096" 2078 1987 1933 15 8 20 0 0 11 0 11 91 82 0 0 0 0 0 9 9 0
"ZCTA5 01097" 53 53 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ZCTA5 01098" 1136 1123 1112 11 0 0 0 0 0 0 0 13 11 0 0 0 0 0 2 2 0
"ZCTA5 01103" 2481 1131 763 298 0 47 0 0 23 0 23 1350 712 124 0 0 0 412 102 59 43
"ZCTA5 01104" 23038 10901 7509 2587 7 295 0 125 378 16 362 12137 5642 347 0 0 0 5620 528 332 196
"ZCTA5 01105" 13105 5406 2556 2551 0 14 4 174 107 0 107 7699 2492 503 4 17 0 4325 358 102 256
"ZCTA5 01106" 16087 15503 14398 69 0 978 4 0 54 0 54 584 507 0 0 0 0 53 24 24 0
"ZCTA5 01107" 11368 2680 1478 949 0 98 0 113 42 0 42 8688 2608 207 9 0 0 5338 526 290 236
"ZCTA5 01108" 24808 15760 9845 3950 121 1373 0 95 376 0 376 9048 2187 418 111 0 0 5964 368 78 290
"ZCTA5 01109" 31134 21485 7149 13071 45 396 4 22 798 20 778 9649 2273 824 9 0 0 5917 626 563 63
"ZCTA5 01118" 13754 12091 9713 1634 0 465 0 7 272 0 272 1663 1009 133 0 0 0 372 149 93 56
"ZCTA5 01119" 15044 12031 8380 3045 1 153 0 15 437 25 412 3013 1818 283 105 0 0 740 67 48 19
"ZCTA5 01128" 2536 2310 1968 291 0 40 0 0 11 0 11 226 53 0 0 0 0 173 0 0 0
