"B19013_001" "B19013A_001" "B19013B_001" "B19013C_001" "B19013D_001" "B19013E_001" "B19013F_001" "B19013G_001" "B19013H_001" "B19013I_001"
"ZCTA5 01118" 58735 65752 30786 NA 33600 NA 30089 58920 66545 45645
"ZCTA5 01119" 45855 44659 49877 NA 47917 NA 54357 14083 45093 41719
"ZCTA5 01128" 80313 78250 63889 NA NA NA 98125 NA 78250 98125
"ZCTA5 01129" 65053 67316 51500 NA 40833 NA 56507 87674 68551 41023
"ZCTA5 01151" 32518 34712 35733 NA 42016 NA 9631 27045 36028 17596
"ZCTA5 01199" NA NA NA NA NA NA NA NA NA NA
"ZCTA5 01201" 45154 46216 38158 62125 40963 250001 29079 31019 46935 24531
"ZCTA5 01220" 39234 39305 37969 NA NA NA NA NA 39649 36495
"ZCTA5 01222" 45461 42361 NA NA NA NA NA NA 45329 NA
"ZCTA5 01223" 46618 46618 NA NA 2499 NA NA 250001 46912 NA
"ZCTA5 01224" 87625 69091 NA NA NA NA NA NA 69091 NA
"ZCTA5 01225" 58553 58553 NA NA NA NA NA NA 58816 NA
"ZCTA5 01226" 53900 52441 NA NA NA NA NA NA 52441 NA
"ZCTA5 01229" 65278 65278 NA NA NA NA NA NA 65278 NA
"ZCTA5 01230" 49444 52101 14709 NA 150000 NA NA 28790 51410 58382
"ZCTA5 01235" 62723 62232 NA 75250 NA NA NA 183333 62232 NA
"ZCTA5 01236" 56250 56538 NA NA NA NA NA NA 56538 NA
"ZCTA5 01237" 67072 67258 NA NA NA NA NA NA 67258 NA
"ZCTA5 01238" 52702 52399 NA NA NA NA NA NA 52162 7260
"ZCTA5 01240" 54560 55714 NA NA NA NA NA NA 56964 16719
"ZCTA5 01242" 111250 111250 NA NA NA NA NA NA 111250 NA
"ZCTA5 01243" 54375 54375 NA NA NA NA NA NA 54375 NA
"ZCTA5 01244" 29688 29688 NA NA NA NA NA NA 29688 NA
"ZCTA5 01245" 48750 47679 NA NA NA NA NA NA 46250 72750
"ZCTA5 01247" 39760 40335 71500 26250 NA NA 37841 35986 39674 75223
"ZCTA5 01253" 70313 71250 NA NA NA NA NA NA 71667 46250
"ZCTA5 01254" 91250 91250 NA NA NA NA NA NA 90982 250001
"ZCTA5 01255" 60104 61563 NA NA 58750 NA 45313 NA 61563 45313
"ZCTA5 01256" 58068 57614 NA NA NA NA NA NA 57614 NA
"ZCTA5 01257" 58317 58413 NA NA NA NA NA NA 57837 17083
"ZCTA5 01258" 60625 60625 NA NA NA NA NA NA 60625 NA
"ZCTA5 01259" 68462 68462 NA NA NA NA NA NA 68462 NA
"ZCTA5 01260" 70313 70313 NA NA NA NA NA NA 70313 NA
"ZCTA5 01262" 32456 32039 43750 NA NA NA NA NA 32325 NA
"ZCTA5 01264" 73125 73125 NA NA NA NA NA NA 73125 NA
"ZCTA5 01266" 75217 75217 NA NA NA NA NA NA 75000 NA
"ZCTA5 01267" 73414 72892 NA NA 88235 NA NA NA 73004 75833
"ZCTA5 01270" 74412 74412 NA NA NA NA NA NA 74412 NA
"ZCTA5 01301" 46138 47068 39900 NA 14083 NA 36076 23654 47748 24214
"ZCTA5 01330" 66429 67548 NA NA NA NA NA 38375 67054 150000
"ZCTA5 01331" 53274 52834 NA 125156 57813 NA 82800 115341 52874 82550
"ZCTA5 01337" 55556 55556 NA NA NA NA NA NA 55278 NA
"ZCTA5 01338" 90865 90865 NA NA NA NA NA NA 90865 NA
"ZCTA5 01339" 48542 47232 NA NA 113333 NA NA 110000 47232 NA
"ZCTA5 01340" 53938 53313 NA 153750 NA NA NA 63750 53125 98438
"ZCTA5 01341" 81042 80417 NA NA NA NA NA NA 80833 NA
"ZCTA5 01342" 71804 71804 NA NA NA NA NA NA 71804 NA
"ZCTA5 01343" 43125 43125 NA NA NA NA NA NA 43125 NA
"ZCTA5 01344" 55078 56016 NA NA NA NA 54250 NA 56016 54250
"ZCTA5 01346" 69688 69688 NA NA NA NA NA NA 69375 NA
